,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
1217,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,200.0,610.0,,,,,119.0,160.0,5.0,
1218,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,600.0,473.0,,,,,119.0,160.0,5.0,
1219,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,20.0,1630.0,,,,,196.0,260.0,5.0,
1220,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,200.0,1268.0,,,,,196.0,260.0,5.0,
1221,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,400.0,1115.0,,,,,196.0,260.0,5.0,
1222,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,600.0,1062.0,,,,,196.0,260.0,5.0,
1223,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,800.0,1058.0,,,,,196.0,260.0,5.0,
1232,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.5,338.3,C,25.0,1160.0,,50.0,,,100.0,,,
1233,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.5,338.3,C,600.0,405.0,,50.0,,,100.0,,,
1234,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.5,338.3,C,800.0,85.0,,50.0,,,100.0,,,
1235,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.6,332.4,C,25.0,1115.0,,50.0,,,100.0,,,
1236,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.7,322.5,C,25.0,1065.0,,50.0,,,100.0,,,
1237,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.7,322.5,C,600.0,718.0,,50.0,,,100.0,,,
1238,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.7,322.5,C,800.0,135.0,,50.0,,,100.0,,,
1239,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.8,318.9,C,25.0,1025.0,,50.0,,,100.0,,,
1240,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.9,310.4,C,25.0,980.0,,50.0,,,101.0,,,
1241,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.9,310.4,C,600.0,859.0,,50.0,,,101.0,,,
1242,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,BCC,,,6.9,310.4,C,800.0,195.0,,50.0,,,101.0,,,
1273,Cr1 Fe1 Mn1 Ni1,FCC,,FCC,,,7.8,,,,,,,,,222.0,,,
1274,Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,FCC,,,7.7,,T,25.0,213.0,471.0,55.7,,,212.0,,,
1275,Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,FCC,,,7.7,,T,25.0,393.0,634.0,26.5,,,212.0,,,
1276,Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,FCC,,,7.7,,T,25.0,792.0,1055.0,22.6,,,212.0,,,
1277,Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,FCC,18.0,,7.7,,T,25.0,559.0,1004.0,33.9,,,212.0,,,
1278,Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,FCC,32.0,,7.7,,T,25.0,512.0,978.0,55.3,,,212.0,,,
